amuse,avg_step_ms,best_val_acc,best_val_loss,col_gamma,elapsed_sec,ema_beta,ema_gamma,ema_rest_frac,ema_warmup_frac,epoch,examples_per_sec,external_lr,fallback_beta1,fallback_beta2,fallback_lr_mult,fallback_mode,fallback_weight_decay,gpu,lr,lr_final_scale,lr_schedule,max_memory_mb,mimuon,mimuon_mix,momentum,muown_mag_lr_mult,normuon,normuon_aspect_scale,normuon_beta,opt_fallback_count,opt_group_count,opt_matrix_count,opt_soda_weight,optimizer,overall_examples_per_sec,pmuon_beta,pmuon_eq,root_grouping,root_normuon_mode,row_gamma,seed,sfplus_adamc_decay,sfplus_beta1,sfplus_beta1_anneal_steps,sfplus_beta1_max,sfplus_beta_anneal,sfplus_c_warmup,sfplus_c_warmup_enabled,sfplus_inner_momentum,sfplus_polyak,sfplus_polyak_beta,sfplus_r,sfplus_weight_lr_power,soda,split_seed,step,step_timing,test_examples,torch,train_acc,train_examples,train_loss,train_val_size,trial,type,use_gram,val_acc,val_examples,val_loss,val_source,weight_decay,wsd_decay_frac
True,12.229926906922168,67.64,0.9136933146476746,0.0,15.714614949887618,0.0,0.99,0.2,0.3,11,36597.80951775544,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,0.1,cosine,1124.625,False,0.85,0.95,1.0,False,False,0.95,,,,,adamw,41864.5183979151,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,65.21866020114942,45000,0.971295484866219,5000,adamw_cosine_lr0.004_wd0.001,epoch,True,67.64,5000,0.9136933146476746,train_split,0.001,0.2
False,17.794118539146524,78.46,0.6058337836265564,0.0,21.632815127028152,0.0,0.99,0.2,0.3,11,27326.381946305348,False,0.9,0.95,0.5,atan2,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.016,0.1,wsd,1124.701171875,False,0.85,0.95,1.0,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28773.552276479193,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,76.2908584770115,45000,0.6709643999735514,5000,anchor_wsd_lr0.016_flr0.5_atan2_rg0.35_pb0.9_nb0.93,epoch,True,78.46,5000,0.6058337836265564,train_split,0.05,0.2
True,18.57946654005597,80.86,0.545044273853302,0.0,22.102476849919185,0.03,0.995,0.1,0.2,11,26196.83503878956,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1128.1708984375,False,0.85,0.95,1.0,False,False,0.95,,,,,ema_muon,27557.303590830525,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,78.82767600574712,45000,0.6004630560162424,5000,ema_muon_wsd_lr0.014_wd0.001_b0.03_g0.995,epoch,True,80.86,5000,0.545044273853302,train_split,0.001,0.2
True,18.724306625264102,80.22,0.5536050504684448,0.0,22.25379357696511,0.06,0.995,0.1,0.2,11,25437.060717888264,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1128.1708984375,False,0.85,0.95,1.0,False,False,0.95,,,,,ema_muon,27344.136701391923,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,78.74685704022988,45000,0.6027932345182047,5000,ema_muon_wsd_lr0.014_wd0.001_b0.06_g0.995,epoch,True,80.22,5000,0.5536050504684448,train_split,0.001,0.2
True,18.51609394902549,80.4,0.5534969470977783,0.0,22.019441475858912,0.1,0.995,0.1,0.2,11,27976.37345281931,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1128.1708984375,False,0.85,0.95,1.0,False,False,0.95,,,,,ema_muon,27651.620336855485,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,78.86808548850574,45000,0.5961477355710392,5000,ema_muon_wsd_lr0.014_wd0.001_b0.1_g0.995,epoch,True,80.4,5000,0.5534969470977783,train_split,0.001,0.2
True,18.5876696507029,80.86,0.5489429921627045,0.0,22.156639178050682,0.03,0.995,0.1,0.2,11,25528.491102631127,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.01,0.1,wsd,1128.1708984375,False,0.85,0.95,1.0,False,False,0.95,,,,,ema_muon,27545.142001199627,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,78.99155890804597,45000,0.5896747793959475,5000,ema_muon_wsd_lr0.01_wd0.001_b0.03_g0.995,epoch,True,80.86,5000,0.5489429921627045,train_split,0.001,0.2
True,18.385929593654044,80.14,0.5570382576942444,0.0,21.900520294206217,0.06,0.995,0.1,0.2,11,25052.969999208715,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.01,0.1,wsd,1128.1708984375,False,0.85,0.95,1.0,False,False,0.95,,,,,ema_muon,27847.381737865366,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,79.31258979885058,45000,0.5901644216186699,5000,ema_muon_wsd_lr0.01_wd0.001_b0.06_g0.995,epoch,True,80.14,5000,0.5570382576942444,train_split,0.001,0.2
True,18.80280835816273,80.42,0.5571231925010681,0.0,22.287517281947657,0.1,0.995,0.1,0.2,11,25785.49377312411,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.01,0.1,wsd,1128.1708984375,False,0.85,0.95,1.0,False,False,0.95,,,,,ema_muon,27229.97491902475,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,78.80971623563218,45000,0.5945810867452074,5000,ema_muon_wsd_lr0.01_wd0.001_b0.1_g0.995,epoch,True,80.42,5000,0.5571231925010681,train_split,0.001,0.2
True,21.385633546129313,68.42,0.8829505933761597,0.0,25.065588579978794,0.03,0.995,0.1,0.2,11,23910.967668119494,False,0.9,0.95,0.25,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,0.5,False,False,0.95,,,,,ema_muown,23941.3061528247,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,67.14709051724138,45000,0.9182140025599249,5000,ema_muown_cosine_lr0.006_wd0_flr0.25_mag0.5_b0.03_g0.995,epoch,True,68.42,5000,0.8829505933761597,train_split,0.0,0.2
True,21.32635888348287,68.3,0.882914945602417,0.0,24.93490484310314,0.06,0.995,0.1,0.2,11,22669.43953650899,False,0.9,0.95,0.25,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,0.5,False,False,0.95,,,,,ema_muown,24007.848822076267,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,66.97647270114942,45000,0.9239593600404674,5000,ema_muown_cosine_lr0.006_wd0_flr0.25_mag0.5_b0.06_g0.995,epoch,True,68.3,5000,0.882914945602417,train_split,0.0,0.2
True,21.56509548069738,68.46,0.8827983568191529,0.0,25.241183934966102,0.15,0.995,0.1,0.2,11,22542.216674263007,False,0.9,0.95,0.25,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,0.5,False,False,0.95,,,,,ema_muown,23742.069700469638,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,67.1740301724138,45000,0.918390739923236,5000,ema_muown_cosine_lr0.006_wd0_flr0.25_mag0.5_b0.15_g0.995,epoch,True,68.46,5000,0.8827983568191529,train_split,0.0,0.2
True,21.497087281953785,68.38,0.883123973941803,0.0,25.11961993109435,0.1,0.995,0.1,0.2,11,21948.869673471636,False,0.9,0.95,0.25,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,0.5,False,False,0.95,,,,,ema_muown,23817.18012699376,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,67.14035560344827,45000,0.9182018918552618,5000,ema_muown_cosine_lr0.006_wd0_flr0.25_mag0.5_b0.1_g0.995,epoch,True,68.38,5000,0.883123973941803,train_split,0.0,0.2
