amuse,avg_step_ms,best_val_acc,best_val_loss,col_gamma,elapsed_sec,epoch,examples_per_sec,external_lr,fallback_beta1,fallback_beta2,fallback_lr_mult,fallback_mode,fallback_weight_decay,gpu,lr,lr_final_scale,lr_schedule,max_memory_mb,mimuon,mimuon_mix,momentum,normuon,normuon_aspect_scale,normuon_beta,opt_beta,opt_fallback_count,opt_gram_params,opt_group_count,opt_lr,opt_matrix_count,opt_matrix_params,opt_mimuon_params,opt_normuon_aspect_params,opt_normuon_params,opt_params,opt_soda_weight,opt_step,opt_sync_diagnostics,optimizer,overall_examples_per_sec,pmuon_beta,pmuon_eq,root_grouping,root_normuon_mode,row_gamma,seed,sfplus_adamc_decay,sfplus_beta1,sfplus_beta1_anneal_steps,sfplus_beta1_max,sfplus_beta_anneal,sfplus_c_warmup,sfplus_c_warmup_enabled,sfplus_inner_momentum,sfplus_polyak,sfplus_polyak_beta,sfplus_r,sfplus_weight_lr_power,soda,split_seed,step,step_timing,test_acc,test_examples,test_loss,torch,train_acc,train_examples,train_loss,train_val_size,trial,type,use_gram,val_acc,val_examples,val_loss,val_source,weight_decay,wsd_decay_frac
True,11.95110930384126,79.68,0.6186780724048615,0.0,60.89702211797703,49,38715.086973553036,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,0.1,cosine,1124.625,False,0.85,0.95,False,False,0.95,,,,,,,,,,,,,,,adamw,42841.21138741788,0.95,True,anchor,row,0.2,101112,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,4350,cuda_synchronized,79.51,10000,0.6226243128776551,2.13.0.dev20260506+cu130,84.44683908045977,45000,0.43097998047697134,5000,final_adamw_adamw_cosine_lr0.004_wd0.001_seed101112,epoch,True,79.36,5000,0.6186780724048615,train_split,0.001,0.2
True,11.7287805116061,79.96,0.5898028431415557,0.0,59.64101911801845,49,40812.355048991456,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,0.1,cosine,1124.625,False,0.85,0.95,False,False,0.95,,,,,,,,,,,,,,,adamw,43653.30219056921,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,4350,cuda_synchronized,78.95,10000,0.6290956607818603,2.13.0.dev20260506+cu130,84.76338002873563,45000,0.42596321784216784,5000,final_adamw_adamw_cosine_lr0.004_wd0.001_seed123,epoch,True,79.56,5000,0.5948529486656189,train_split,0.001,0.2
True,11.798302655284903,80.32,0.6031240530967712,0.0,60.43750805396121,49,36846.36297504146,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,0.1,cosine,1124.625,False,0.85,0.95,False,False,0.95,,,,,,,,,,,,,,,adamw,43396.07271988873,0.95,True,anchor,row,0.2,131415,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,4350,cuda_synchronized,79.73,10000,0.6193775275230408,2.13.0.dev20260506+cu130,85.54014008620689,45000,0.40407262108791836,5000,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,epoch,True,80.0,5000,0.6166220659255981,train_split,0.001,0.2
True,11.773713572999869,79.34,0.6180093019008637,0.0,60.11903808300849,49,39338.821170296054,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,0.1,cosine,1124.625,False,0.85,0.95,False,False,0.95,,,,,,,,,,,,,,,adamw,43486.704243778,0.95,True,anchor,row,0.2,456,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,4350,cuda_synchronized,78.03,10000,0.6721302770614624,2.13.0.dev20260506+cu130,84.11907327586206,45000,0.4433193330107064,5000,final_adamw_adamw_cosine_lr0.004_wd0.001_seed456,epoch,True,78.8,5000,0.6400416397094727,train_split,0.001,0.2
True,11.999332718256776,79.0,0.6264936646461486,0.0,61.16314964706544,49,36415.25743544729,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,0.1,cosine,1124.625,False,0.85,0.95,False,False,0.95,,,,,,,,,,,,,,,adamw,42669.03935591359,0.95,True,anchor,row,0.2,789,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,4350,cuda_synchronized,78.61,10000,0.6496078984260559,2.13.0.dev20260506+cu130,84.83970905172414,45000,0.42533064642171753,5000,final_adamw_adamw_cosine_lr0.004_wd0.001_seed789,epoch,True,79.0,5000,0.6402933351516724,train_split,0.001,0.2
False,17.16897041170226,86.82,0.4261672017097473,0.0,83.66027894604485,49,26761.741599503832,True,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1124.654296875,False,0.85,0.95,False,False,0.95,1.0,,18.0,,0.0014147540983606615,,18.0,0.0,0.0,0.0,60.0,,4350.0,0.0,anchormuon,29821.240745515177,0.9,False,anchor,row,0.0,101112,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,none,12345,4350,cuda_synchronized,86.34,10000,0.49632399415969847,2.13.0.dev20260506+cu130,93.52550287356321,45000,0.1815937503144659,5000,final_plain_muon_plain_muon_wsd_lr0.014_wd0.001_seed101112,epoch,True,86.82,5000,0.4820383870124817,train_split,0.001,0.2
False,17.2920840616263,86.86,0.4379042028903961,0.0,84.43050667492207,49,27669.132883394675,True,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1124.654296875,False,0.85,0.95,False,False,0.95,1.0,,18.0,,0.0014147540983606615,,18.0,0.0,0.0,0.0,60.0,,4350.0,0.0,anchormuon,29608.923839099527,0.9,False,anchor,row,0.0,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,none,12345,4350,cuda_synchronized,85.87,10000,0.5475257923126221,2.13.0.dev20260506+cu130,93.75224497126437,45000,0.17666246630679602,5000,final_plain_muon_plain_muon_wsd_lr0.014_wd0.001_seed123,epoch,True,86.24,5000,0.5192901856422424,train_split,0.001,0.2
False,17.27007008588541,86.2,0.4703747944831848,0.0,83.8552814690629,49,26955.120994084813,True,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1124.654296875,False,0.85,0.95,False,False,0.95,1.0,,18.0,,0.0014147540983606615,,18.0,0.0,0.0,0.0,60.0,,4350.0,0.0,anchormuon,29646.66602126013,0.9,False,anchor,row,0.0,131415,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,none,12345,4350,cuda_synchronized,85.39,10000,0.5626603960990906,2.13.0.dev20260506+cu130,93.7634698275862,45000,0.1760977609404202,5000,final_plain_muon_plain_muon_wsd_lr0.014_wd0.001_seed131415,epoch,True,85.88,5000,0.5567615419864654,train_split,0.001,0.2
False,17.19572896528561,87.04,0.4135033079624176,0.0,83.77311314095277,49,27604.139363555947,True,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1124.654296875,False,0.85,0.95,False,False,0.95,1.0,,18.0,,0.0014147540983606615,,18.0,0.0,0.0,0.0,60.0,,4350.0,0.0,anchormuon,29774.835427658534,0.9,False,anchor,row,0.0,456,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,none,12345,4350,cuda_synchronized,86.45,10000,0.4897045698642731,2.13.0.dev20260506+cu130,93.30774066091954,45000,0.18595239348795223,5000,final_plain_muon_plain_muon_wsd_lr0.014_wd0.001_seed456,epoch,True,86.74,5000,0.45689455976486204,train_split,0.001,0.2
False,17.267578970373275,86.22,0.4402514019012451,0.0,83.89669902995229,49,26699.709939303662,True,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1124.654296875,False,0.85,0.95,False,False,0.95,1.0,,18.0,,0.0014147540983606615,,18.0,0.0,0.0,0.0,60.0,,4350.0,0.0,anchormuon,29650.943011667143,0.9,False,anchor,row,0.0,789,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,none,12345,4350,cuda_synchronized,86.03,10000,0.5187015562057495,2.13.0.dev20260506+cu130,93.46264367816092,45000,0.18663161890260105,5000,final_plain_muon_plain_muon_wsd_lr0.014_wd0.001_seed789,epoch,True,85.78,5000,0.49934151091575624,train_split,0.001,0.2
