amuse,avg_step_ms,best_val_acc,best_val_loss,col_gamma,elapsed_sec,epoch,examples_per_sec,external_lr,fallback_beta1,fallback_beta2,fallback_lr_mult,fallback_mode,fallback_weight_decay,gpu,lr,lr_final_scale,lr_schedule,max_memory_mb,mimuon,mimuon_mix,momentum,normuon,normuon_aspect_scale,normuon_beta,opt_beta,opt_fallback_count,opt_gram_params,opt_group_count,opt_lr,opt_matrix_count,opt_matrix_params,opt_mimuon_params,opt_normuon_aspect_params,opt_normuon_params,opt_params,opt_soda_weight,opt_step,opt_sync_diagnostics,optimizer,overall_examples_per_sec,pmuon_beta,pmuon_eq,root_grouping,root_normuon_mode,row_gamma,seed,sfplus_adamc_decay,sfplus_beta1,sfplus_beta1_anneal_steps,sfplus_beta1_max,sfplus_beta_anneal,sfplus_c_warmup,sfplus_c_warmup_enabled,sfplus_inner_momentum,sfplus_polyak,sfplus_polyak_beta,sfplus_r,sfplus_weight_lr_power,soda,split_seed,step,step_timing,test_examples,torch,train_acc,train_examples,train_loss,train_val_size,trial,type,use_gram,val_acc,val_examples,val_loss,val_source,weight_decay,wsd_decay_frac
True,12.183904565979594,68.04,0.8932395866394043,0.0,15.689597081043757,11,36606.693951331064,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,0.1,cosine,1124.625,False,0.85,0.95,False,False,0.95,,,,,,,,,,,,,,,adamw,42022.65351204635,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,65.60030531609195,45000,0.9510397082087637,5000,adamw_cosine_lr0.004_wd0.001,epoch,True,68.04,5000,0.8932395866394043,train_split,0.001,0.2
False,17.65462498816615,79.72,0.5750736144542694,0.0,21.551799991051666,11,26661.619058271954,False,0.9,0.95,0.5,atan2,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,,40.0,,2.0,,20.0,,,,,,0.0009569377990430622,,,root,29000.899217241502,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.2247665229885,45000,0.6423196655580368,5000,atan2_best_wsd_lr0.014_flr0.5_b2_0.95,epoch,True,79.72,5000,0.5750736144542694,train_split,0.05,0.2
False,17.449681045642745,79.64,0.5808152402877808,0.0,21.21152127208188,11,28003.39511985698,True,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,wsd,1124.654296875,False,0.85,0.95,False,False,0.95,1.0,,18.0,,0.0006280082987551878,,18.0,0.0,0.0,0.0,60.0,,1044.0,0.0,anchormuon,29341.510521640652,0.9,False,anchor,row,0.0,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,none,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,78.65032327586206,45000,0.6005573190491775,5000,plain_muon_wsd_lr0.006_wd0,epoch,True,79.64,5000,0.5808152402877808,train_split,0.0,0.2
False,17.34233960869251,79.8,0.5826289569854737,0.0,21.04037353093736,11,26523.743606741235,True,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,wsd,1124.654296875,False,0.85,0.95,False,False,0.95,1.0,,18.0,,0.0006280082987551878,,18.0,0.0,0.0,0.0,60.0,,1044.0,0.0,anchormuon,29523.121536806368,0.9,False,anchor,row,0.0,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,none,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,78.95788433908046,45000,0.5956579552984785,5000,plain_muon_wsd_lr0.006_wd0.001,epoch,True,79.8,5000,0.5826289569854737,train_split,0.001,0.2
False,17.062441810409776,80.12,0.5710284654617309,0.0,20.751451142015867,11,28370.659026183206,True,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,wsd,1124.654296875,False,0.85,0.95,False,False,0.95,1.0,,18.0,,0.0006280082987551878,,18.0,0.0,0.0,0.0,60.0,,1044.0,0.0,anchormuon,30007.4283440269,0.9,False,anchor,row,0.0,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,none,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,78.8501257183908,45000,0.5981696224075624,5000,plain_muon_wsd_lr0.006_wd0.005,epoch,True,80.12,5000,0.5710284654617309,train_split,0.005,0.2
False,17.157039862666707,79.94,0.583752594947815,0.0,20.95062029408291,11,26835.014581371655,True,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,wsd,1124.654296875,False,0.85,0.95,False,False,0.95,1.0,,18.0,,0.0008373443983402505,,18.0,0.0,0.0,0.0,60.0,,1044.0,0.0,anchormuon,29841.977642897436,0.9,False,anchor,row,0.0,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,none,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,78.74685704022988,45000,0.6011169730931863,5000,plain_muon_wsd_lr0.008_wd0,epoch,True,79.94,5000,0.583752594947815,train_split,0.0,0.2
False,17.14506185597069,79.72,0.5812806923389435,0.0,20.878716315026395,11,28291.37567307079,True,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,wsd,1124.654296875,False,0.85,0.95,False,False,0.95,1.0,,18.0,,0.0008373443983402505,,18.0,0.0,0.0,0.0,60.0,,1044.0,0.0,anchormuon,29862.82606042032,0.9,False,anchor,row,0.0,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,none,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,78.71767241379311,45000,0.5995470860908771,5000,plain_muon_wsd_lr0.008_wd0.001,epoch,True,79.72,5000,0.5812806923389435,train_split,0.001,0.2
False,17.179445459813387,79.74,0.5774140525817871,0.0,20.91175447194837,11,28969.726052504902,True,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,wsd,1124.654296875,False,0.85,0.95,False,False,0.95,1.0,,18.0,,0.0008373443983402505,,18.0,0.0,0.0,0.0,60.0,,1044.0,0.0,anchormuon,29803.057450118744,0.9,False,anchor,row,0.0,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,none,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,78.73563218390805,45000,0.5976062321114815,5000,plain_muon_wsd_lr0.008_wd0.005,epoch,True,79.74,5000,0.5774140525817871,train_split,0.005,0.2
False,17.371674081764695,79.6,0.5698894870758057,0.0,21.16783435002435,11,28135.592731059885,True,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.654296875,False,0.85,0.95,False,False,0.95,1.0,,18.0,,0.0012560165975103756,,18.0,0.0,0.0,0.0,60.0,,1044.0,0.0,anchormuon,29473.267664942785,0.9,False,anchor,row,0.0,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,none,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,78.3899066091954,45000,0.6137774107099949,5000,plain_muon_wsd_lr0.012_wd0,epoch,True,79.6,5000,0.5698894870758057,train_split,0.0,0.2
False,17.01260917814238,80.54,0.5609366535186767,0.0,20.70928846800234,11,28585.81759518161,True,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.654296875,False,0.85,0.95,False,False,0.95,1.0,,18.0,,0.0012560165975103756,,18.0,0.0,0.0,0.0,60.0,,1044.0,0.0,anchormuon,30095.324863972786,0.9,False,anchor,row,0.0,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,none,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,78.87033045977012,45000,0.5999267666504301,5000,plain_muon_wsd_lr0.012_wd0.001,epoch,True,80.54,5000,0.5609366535186767,train_split,0.001,0.2
