amuse,avg_step_ms,best_val_acc,best_val_loss,col_gamma,elapsed_sec,epoch,examples_per_sec,gpu,lr,lr_final_scale,lr_schedule,max_memory_mb,mimuon,mimuon_mix,momentum,normuon,normuon_aspect_scale,normuon_beta,opt_beta,opt_gram_params,opt_lr,opt_matrix_params,opt_mimuon_params,opt_normuon_aspect_params,opt_normuon_params,opt_params,opt_step,opt_sync_diagnostics,optimizer,overall_examples_per_sec,pmuon_beta,pmuon_eq,root_grouping,root_normuon_mode,row_gamma,seed,sfplus_adamc_decay,sfplus_beta1,sfplus_beta1_anneal_steps,sfplus_beta1_max,sfplus_beta_anneal,sfplus_c_warmup,sfplus_c_warmup_enabled,sfplus_inner_momentum,sfplus_polyak,sfplus_polyak_beta,sfplus_r,sfplus_weight_lr_power,soda,split_seed,step,step_timing,test_examples,torch,train_acc,train_examples,train_loss,train_val_size,trial,type,use_gram,val_acc,val_examples,val_loss,val_source,weight_decay,wsd_decay_frac
True,12.015220684613105,64.66,0.9701549085617065,0.0,15.663625751039945,11,37280.27922908487,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.003,0.1,cosine,1124.625,False,0.85,0.95,False,False,0.95,,,,,,,,,,,adamw,42612.61723271349,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,62.69755747126437,45000,1.0289963970239135,5000,component_adamw_lr0.003_wd0.005,epoch,True,64.66,5000,0.9701549085617065,train_split,0.005,0.2
True,12.127388782988364,67.56,0.9095243269920349,0.0,15.739199568051845,11,37517.23691368966,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,0.1,cosine,1124.625,False,0.85,0.95,False,False,0.95,,,,,,,,,,,adamw,42218.48653175905,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,65.1580459770115,45000,0.9700164781219658,5000,component_adamw_lr0.004_wd0.001,epoch,True,67.56,5000,0.9095243269920349,train_split,0.001,0.2
False,20.271701969173325,76.08,0.6966956803321839,0.0,24.01754707400687,11,24498.814366474384,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1126.43212890625,False,0.85,0.95,True,False,0.93,1.0,18.0,0.012,18.0,0.0,0.0,18.0,60.0,1044.0,0.0,anchormuon,25256.882760933724,0.9,True,anchor,row,0.25,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,73.29157686781609,45000,0.757838512289113,5000,component_full_lr0.012_rg0.25_pb0.9_nb0.93,epoch,True,76.08,5000,0.6966956803321839,train_split,0.001,0.2
False,20.431534020083873,75.38,0.7028570196151733,0.0,24.11768222192768,11,26037.751055970333,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1126.43212890625,False,0.85,0.95,True,False,0.9,1.0,18.0,0.012,18.0,0.0,0.0,18.0,60.0,1044.0,0.0,anchormuon,25059.30291365847,0.95,True,anchor,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,73.1029992816092,45000,0.7582391342897524,5000,component_full_lr0.012_rg0.35_pb0.95_nb0.9,epoch,True,74.78,5000,0.7201406176567078,train_split,0.001,0.2
False,20.37946615520672,75.42,0.6942003842353821,0.0,24.120253632892855,11,24068.43336337041,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1126.43212890625,False,0.85,0.95,True,False,0.95,1.0,18.0,0.012,18.0,0.0,0.0,18.0,60.0,1044.0,0.0,anchormuon,25123.327377699236,0.95,True,anchor,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,73.2287176724138,45000,0.754927016537765,5000,component_full_lr0.012_rg0.35_pb0.95_nb0.95,epoch,True,75.42,5000,0.6942003842353821,train_split,0.001,0.2
False,20.230204020617922,75.22,0.7017748151779175,0.0,23.916769285104237,11,24507.306743000252,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1126.43212890625,False,0.85,0.95,True,False,0.93,1.0,18.0,0.012,18.0,0.0,0.0,18.0,60.0,1044.0,0.0,anchormuon,25308.691868761547,0.9,True,anchor,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,73.1658584770115,45000,0.7600190831326891,5000,component_full_lr0.012_rg0.35_pb0.9_nb0.93,epoch,True,74.48,5000,0.717607477760315,train_split,0.001,0.2
False,20.43991135116631,74.66,0.7086643521308899,0.0,24.16328485996928,11,23152.691984127374,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1126.43212890625,False,0.85,0.95,True,False,0.93,1.0,18.0,0.012,18.0,0.0,0.0,18.0,60.0,1044.0,0.0,anchormuon,25049.032317392368,0.9,True,anchor,row,0.45,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,73.8146551724138,45000,0.7456931588293492,5000,component_full_lr0.012_rg0.45_pb0.9_nb0.93,epoch,True,74.18,5000,0.7328241157531739,train_split,0.001,0.2
False,20.294038975170647,75.14,0.7019996628761291,0.0,24.09635614603758,11,25296.536928371537,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1126.43212890625,False,0.85,0.95,True,False,0.93,1.0,18.0,0.014,18.0,0.0,0.0,18.0,60.0,1044.0,0.0,anchormuon,25229.083309952337,0.9,True,anchor,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,72.97952586206897,45000,0.7686463320392302,5000,component_full_lr0.014_rg0.35_pb0.9_nb0.93,epoch,True,74.84,5000,0.7019996628761291,train_split,0.001,0.2
False,20.557304516312456,75.5,0.6832494506835938,0.0,24.26361474301666,11,23472.063663060195,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.01,0.1,wsd,1126.43212890625,False,0.85,0.95,True,False,0.93,1.0,18.0,0.01,18.0,0.0,0.0,18.0,60.0,1044.0,0.0,anchormuon,24905.988992560877,0.9,True,anchor,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,73.6956716954023,45000,0.7469185186528612,5000,component_full_lr0.01_rg0.35_pb0.9_nb0.93,epoch,True,74.98,5000,0.6956070798873901,train_split,0.001,0.2
False,17.09512426993824,61.78,1.048674041748047,0.0,20.6931576669449,11,29409.461247788036,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.002,0.1,wsd,1126.43212890625,False,0.85,0.95,True,False,0.93,1.0,0.0,0.002,18.0,0.0,0.0,18.0,60.0,1044.0,0.0,anchormuon,29950.06014085265,0.9,True,anchor,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,59.94971264367816,45000,1.1099169912009403,5000,component_no_gram_lr0.002_rg0.35_pb0.9_nb0.93,epoch,False,60.64,5000,1.088601894760132,train_split,0.001,0.2
