amuse,avg_step_ms,best_val_acc,best_val_loss,col_gamma,elapsed_sec,epoch,examples_per_sec,fallback_beta1,fallback_beta2,fallback_lr_mult,fallback_mode,fallback_weight_decay,gpu,lr,lr_final_scale,lr_schedule,max_memory_mb,mimuon,mimuon_mix,momentum,normuon,normuon_aspect_scale,normuon_beta,opt_fallback_count,opt_group_count,opt_matrix_count,opt_soda_weight,optimizer,overall_examples_per_sec,pmuon_beta,pmuon_eq,root_grouping,root_normuon_mode,row_gamma,seed,sfplus_adamc_decay,sfplus_beta1,sfplus_beta1_anneal_steps,sfplus_beta1_max,sfplus_beta_anneal,sfplus_c_warmup,sfplus_c_warmup_enabled,sfplus_inner_momentum,sfplus_polyak,sfplus_polyak_beta,sfplus_r,sfplus_weight_lr_power,soda,split_seed,step,step_timing,test_examples,torch,train_acc,train_examples,train_loss,train_val_size,trial,type,use_gram,val_acc,val_examples,val_loss,val_source,weight_decay,wsd_decay_frac
False,18.31417657192743,79.16,0.5839012188911438,0.0,22.241240978008136,11,27659.80236753789,0.9,0.95,1.0,adamc,0.1,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,27956.484856917366,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.09455818965517,45000,0.6474530683166679,5000,fallback_adamc_wd0.1_wsd_lr0.012_flr1_b2_0.95,epoch,True,79.16,5000,0.5839012188911438,train_split,0.05,0.2
False,16.736209970275368,79.28,0.5916662462234497,0.0,20.494823110988364,11,29053.75741631222,0.9,0.95,1.0,adamc,1.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,30592.35041322655,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,76.95536997126437,45000,0.6496080112183231,5000,fallback_adamc_wd1_wsd_lr0.012_flr1_b2_0.95,epoch,True,79.28,5000,0.5916662462234497,train_split,0.05,0.2
False,18.048074156767598,79.02,0.5896233748435974,0.0,22.079209747025743,11,26427.313865923163,0.9,0.95,0.5,adamc,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28368.677763217864,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.34823994252874,45000,0.6448947711922657,5000,fallback_adamc_wsd_lr0.012_flr0.5_b20.95,epoch,True,79.02,5000,0.5896233748435974,train_split,0.05,0.2
False,17.90472883347536,79.48,0.5814387575149537,0.0,21.91782263305504,11,26730.732875053214,0.9,0.99,0.5,adamc,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28595.797499191685,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.12149784482759,45000,0.648913562297821,5000,fallback_adamc_wsd_lr0.012_flr0.5_b20.99,epoch,True,79.48,5000,0.5814387575149537,train_split,0.05,0.2
False,17.905109948023682,79.02,0.5896233748435974,0.0,21.929085286916234,11,26713.154977048274,0.9,0.95,1.0,adamc,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28595.18883080152,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.34823994252874,45000,0.6448947711922657,5000,fallback_adamc_wsd_lr0.012_flr1_b20.95,epoch,True,79.02,5000,0.5896233748435974,train_split,0.05,0.2
False,18.16172222796403,79.54,0.5864191536903381,0.0,22.185233958996832,11,26225.664950087772,0.9,0.99,1.0,adamc,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28191.159052728028,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.31232040229885,45000,0.6452960632313257,5000,fallback_adamc_wsd_lr0.012_flr1_b20.99,epoch,True,79.54,5000,0.5864191536903381,train_split,0.05,0.2
False,17.752041003976366,79.02,0.5896233748435974,0.0,21.70170610700734,11,27476.79333684021,0.9,0.95,2.0,adamc,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28841.754020583583,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.34823994252874,45000,0.6448947711922657,5000,fallback_adamc_wsd_lr0.012_flr2_b20.95,epoch,True,79.02,5000,0.5896233748435974,train_split,0.05,0.2
False,17.89418124815474,79.48,0.5814387575149537,0.0,21.822002612054348,11,26481.362538904552,0.9,0.99,2.0,adamc,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28612.65306859445,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.12149784482759,45000,0.648913562297821,5000,fallback_adamc_wsd_lr0.012_flr2_b20.99,epoch,True,79.48,5000,0.5814387575149537,train_split,0.05,0.2
False,17.933931746082987,79.16,0.5764986090183258,0.0,21.865302051999606,11,27067.166125845033,0.9,0.95,0.5,adamc,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28549.23322164576,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.05190373563218,45000,0.6539391327178341,5000,fallback_adamc_wsd_lr0.014_flr0.5_b20.95,epoch,True,79.16,5000,0.5764986090183258,train_split,0.05,0.2
False,18.125131742768275,79.54,0.5718764783859253,0.0,22.083811025018804,11,26764.49695918443,0.9,0.99,0.5,adamc,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28248.070539089036,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.25844109195403,45000,0.6466426047785528,5000,fallback_adamc_wsd_lr0.014_flr0.5_b20.99,epoch,True,79.54,5000,0.5718764783859253,train_split,0.05,0.2
False,18.26855322743955,79.16,0.5764986090183258,0.0,22.325015288079157,11,26788.366227855306,0.9,0.95,1.0,adamc,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28026.30255530968,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.05190373563218,45000,0.6539391327178341,5000,fallback_adamc_wsd_lr0.014_flr1_b20.95,epoch,True,79.16,5000,0.5764986090183258,train_split,0.05,0.2
False,18.167116964268015,79.54,0.5718764783859253,0.0,22.14728783699684,11,26130.881107736743,0.9,0.99,1.0,adamc,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28182.787671099763,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.25844109195403,45000,0.6466426047785528,5000,fallback_adamc_wsd_lr0.014_flr1_b20.99,epoch,True,79.54,5000,0.5718764783859253,train_split,0.05,0.2
False,18.020471438437244,79.16,0.5764986090183258,0.0,22.006206864956766,11,27419.628729820965,0.9,0.95,2.0,adamc,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28412.131266883283,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.05190373563218,45000,0.6539391327178341,5000,fallback_adamc_wsd_lr0.014_flr2_b20.95,epoch,True,79.16,5000,0.5764986090183258,train_split,0.05,0.2
False,17.79723000825094,79.36,0.5820742800235749,0.0,21.76798521692399,11,26714.54010064139,0.9,0.99,2.0,adamc,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28768.52182966859,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.22701149425288,45000,0.6420119863817062,5000,fallback_adamc_wsd_lr0.014_flr2_b20.99,epoch,True,79.36,5000,0.5820742800235749,train_split,0.05,0.2
False,18.040466209752235,79.18,0.5825248231887817,0.0,22.04819048102945,11,27492.822374659332,0.9,0.95,0.5,adamc,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.01,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28380.641278728446,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.36395474137932,45000,0.6392263352185831,5000,fallback_adamc_wsd_lr0.01_flr0.5_b20.95,epoch,True,79.18,5000,0.5825248231887817,train_split,0.05,0.2
False,18.096570871811416,80.16,0.5758370697498322,0.0,22.088610005099326,11,27599.416968561596,0.9,0.99,0.5,adamc,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.01,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28292.65299082324,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.32130028735632,45000,0.6439177208933337,5000,fallback_adamc_wsd_lr0.01_flr0.5_b20.99,epoch,True,80.16,5000,0.5758370697498322,train_split,0.05,0.2
False,18.146327003601126,79.18,0.5825248231887817,0.0,22.101468282053247,11,26671.88154360744,0.9,0.95,1.0,adamc,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.01,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28215.076246470926,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.36395474137932,45000,0.6392263352185831,5000,fallback_adamc_wsd_lr0.01_flr1_b20.95,epoch,True,79.18,5000,0.5825248231887817,train_split,0.05,0.2
False,17.858637148921176,79.28,0.579722476196289,0.0,21.795050341053866,11,27932.841905306443,0.9,0.99,1.0,adamc,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.01,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28669.600918059386,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.06986350574712,45000,0.6479449189942459,5000,fallback_adamc_wsd_lr0.01_flr1_b20.99,epoch,True,79.28,5000,0.579722476196289,train_split,0.05,0.2
False,17.86223766474246,79.18,0.5825248231887817,0.0,21.809791282052174,11,27183.21296920952,0.9,0.95,2.0,adamc,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.01,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28663.821947158158,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.36395474137932,45000,0.6392263352185831,5000,fallback_adamc_wsd_lr0.01_flr2_b20.95,epoch,True,79.18,5000,0.5825248231887817,train_split,0.05,0.2
False,18.00763194185639,79.28,0.579722476196289,0.0,21.920539623009972,11,27080.35004285721,0.9,0.99,2.0,adamc,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.01,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28432.38920326458,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.06986350574712,45000,0.6479449189942459,5000,fallback_adamc_wsd_lr0.01_flr2_b20.99,epoch,True,79.28,5000,0.579722476196289,train_split,0.05,0.2
False,18.043771105924606,79.4,0.5688888425827027,0.0,21.97060247103218,11,27219.729960729142,0.9,0.95,0.5,atan2,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28375.44308195567,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.31905531609195,45000,0.6390218111290329,5000,fallback_atan2_wsd_lr0.012_flr0.5_b20.95,epoch,True,79.4,5000,0.5688888425827027,train_split,0.05,0.2
False,17.982727210273808,79.28,0.5876299744129181,0.0,21.982628613943234,11,25751.683365006276,0.9,0.99,0.5,atan2,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28471.765934784715,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.14170258620689,45000,0.6482109406898762,5000,fallback_atan2_wsd_lr0.012_flr0.5_b20.99,epoch,True,79.28,5000,0.5876299744129181,train_split,0.05,0.2
False,17.91145041240629,79.4,0.5688888425827027,0.0,21.8857716510538,11,28688.694770863825,0.9,0.95,1.0,atan2,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28585.066435790446,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.31905531609195,45000,0.6390218111290329,5000,fallback_atan2_wsd_lr0.012_flr1_b20.95,epoch,True,79.4,5000,0.5688888425827027,train_split,0.05,0.2
False,18.0088377720944,78.92,0.6046732071876526,0.0,21.86907847702969,11,27405.20144023904,0.9,0.99,1.0,atan2,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28430.48543606572,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,76.53556034482759,45000,0.6613879087327541,5000,fallback_atan2_wsd_lr0.012_flr1_b20.99,epoch,True,78.92,5000,0.6046732071876526,train_split,0.05,0.2
False,17.839101146972627,78.9,0.5807827444076538,0.0,21.674727577948943,11,28241.74476790142,0.9,0.95,2.0,atan2,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28700.99764454156,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.1484375,45000,0.6380887216535108,5000,fallback_atan2_wsd_lr0.012_flr2_b20.95,epoch,True,78.9,5000,0.5807827444076538,train_split,0.05,0.2
False,17.976075034723277,78.92,0.6046732071876526,0.0,21.937576155061834,11,26985.1858008409,0.9,0.99,2.0,atan2,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,28482.30211606266,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,76.53556034482759,45000,0.6613879087327541,5000,fallback_atan2_wsd_lr0.012_flr2_b20.99,epoch,True,78.92,5000,0.6046732071876526,train_split,0.05,0.2
