name,family,lr,weight_decay,best_val_loss,pace_c,pace_kappa,pace_precond,pace_beta2,pace_update_freq
pace_muon_adam_lr0.0016_c0.003_k0.5,pace_muon,0.0016,0.05,1.01,0.003,0.5,adam,0.999,1
pace_muon_row_lr0.0016_c0.003_k0.5,pace_muon,0.0016,0.05,1.02,0.003,0.5,row,0.999,1
pace_muon_row_lr0.0016_c0.01_k0.5,pace_muon,0.0016,0.05,1.03,0.01,0.5,row,0.999,1
pace_muon_row_lr0.0016_c0.03_k0.5,pace_muon,0.0016,0.05,1.04,0.03,0.5,row,0.999,1
pace_muon_scalar_lr0.0016_c0.003_k0.5,pace_muon,0.0016,0.05,1.05,0.003,0.5,scalar,0.999,1
pace_muon_scalar_lr0.0016_c0.03_k0.5,pace_muon,0.0016,0.05,1.06,0.03,0.5,scalar,0.999,1
pace_inject_lr0.0016_c0.01_k0.5,pace_inject_muon,0.0016,0.05,1.07,0.01,0.5,adam,0.999,1
pace_inject_lr0.0016_c0.03_k0.5,pace_inject_muon,0.0016,0.05,1.08,0.03,0.5,adam,0.999,1
pace_inject_lr0.0016_c0.1_k0.5,pace_inject_muon,0.0016,0.05,1.09,0.1,0.5,adam,0.999,1
emaeval_muon_lr0.0016_k0.7,emaeval_muon,0.0016,0.05,1.10,0.0,0.7,adam,0.999,1
emaeval_muon_lr0.0018_k0.5,emaeval_muon,0.0018,0.05,1.11,0.0,0.5,adam,0.999,1
