batch,best_val_accuracy,best_val_loss,elapsed_s,epoch,event,examples_per_s_interval,mean_step_s_interval,overall_examples_per_s,progress,step,train_loss,train_loss_interval,trial,val_accuracy,val_loss
2,,,,1,step,,,,,100,1.4438705444335938,,adamw_lr0.0025_wd0.005,,
5,,,,2,step,,,,,200,1.2577852010726929,,adamw_lr0.0025_wd0.005,,
,0.5799,1.1705546813964844,9.154972492018715,3,bin,16274.644262242204,0.019452206187167836,26320.921908475062,0.25,291,,1.4533577575716365,adamw_lr0.0025_wd0.005,0.5799,1.1705546813964844
8,,,,3,step,,,,,300,1.1737756729125977,,adamw_lr0.0025_wd0.005,,
11,,,,4,step,,,,,400,1.0835938453674316,,adamw_lr0.0025_wd0.005,,
14,,,,5,step,,,,,500,1.0865321159362793,,adamw_lr0.0025_wd0.005,,
,0.6395,1.010796807861328,17.77420656301547,6,bin,17286.392957923235,0.018672548536102437,26859.189191713784,0.5,582,,1.1282569348197622,adamw_lr0.0025_wd0.005,0.6395,1.010796807861328
17,,,,6,step,,,,,600,1.0122320652008057,,adamw_lr0.0025_wd0.005,,
20,,,,7,step,,,,,700,0.9407737255096436,,adamw_lr0.0025_wd0.005,,
23,,,,8,step,,,,,800,1.002197504043579,,adamw_lr0.0025_wd0.005,,
,0.7111,0.8276530303955079,26.565133612952195,9,bin,16966.769238700323,0.01996685546755637,26440.995437281796,0.75,873,,0.9630218555837152,adamw_lr0.0025_wd0.005,0.7111,0.8276530303955079
26,,,,9,step,,,,,900,0.9024380445480347,,adamw_lr0.0025_wd0.005,,
29,,,,10,step,,,,,1000,0.8703509569168091,,adamw_lr0.0025_wd0.005,,
32,,,,11,step,,,,,1100,0.8378208875656128,,adamw_lr0.0025_wd0.005,,
,0.7134,0.8010213958740234,35.298209366970696,12,bin,17060.85634282385,0.019326877865469872,26453.629506568934,1.0,1164,,0.8351868298864856,adamw_lr0.0025_wd0.005,0.7134,0.8010213958740234
2,,,,1,step,,,,,100,1.3651151657104492,,orientation_aspect_mlr0p008_rg0p35_cg0p05_nb0p93,,
5,,,,2,step,,,,,200,1.2936625480651855,,orientation_aspect_mlr0p008_rg0p35_cg0p05_nb0p93,,
,0.5858,1.146321826171875,10.970788108068518,3,bin,13580.92694457167,0.03528460558332644,14510.577390213,0.25,291,,1.463024758801018,orientation_aspect_mlr0p008_rg0p35_cg0p05_nb0p93,0.5858,1.146321826171875
8,,,,3,step,,,,,300,1.1231956481933594,,orientation_aspect_mlr0p008_rg0p35_cg0p05_nb0p93,,
11,,,,4,step,,,,,400,1.0697474479675293,,orientation_aspect_mlr0p008_rg0p35_cg0p05_nb0p93,,
14,,,,5,step,,,,,500,0.9740273952484131,,orientation_aspect_mlr0p008_rg0p35_cg0p05_nb0p93,,
,0.692,0.8805814239501953,21.231993029010482,6,bin,14520.23139435221,0.03388158121719137,14804.921991049157,0.5,582,,1.0543668974715819,orientation_aspect_mlr0p008_rg0p35_cg0p05_nb0p93,0.692,0.8805814239501953
17,,,,6,step,,,,,600,0.9053552150726318,,orientation_aspect_mlr0p008_rg0p35_cg0p05_nb0p93,,
20,,,,7,step,,,,,700,0.7579988241195679,,orientation_aspect_mlr0p008_rg0p35_cg0p05_nb0p93,,
