adam_lr,best_val_accuracy,best_val_loss,col_gamma,display_lr,elapsed_s,final_train_loss_interval,final_val_accuracy,final_val_loss,gpu,lr,matrix_lr,mean_step_s,momentum,name,normuon_aspect_scale,normuon_beta2,normuon_mode,optimizer,overall_examples_per_s,pmuoneq_beta,row_gamma,seed,steps,torch,weight_decay
0.0008,0.7134,0.8010213958740234,0.05,0.0025,35.29839442495722,0.8351868298864856,0.7134,0.8010213958740234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0025,0.008,0.01935462201407413,0.95,adamw_lr0.0025_wd0.005,True,0.93,row,adamw,26453.629506568934,0.9,0.35,34000,1164,2.13.0.dev20260513+cu130,0.005
0.0008,0.7809,0.6239131210327148,0.05,0.008,41.76411246601492,0.6645675238055462,0.7809,0.6239131210327148,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.03425311489823623,0.95,orientation_aspect_mlr0p008_rg0p35_cg0p05_nb0p93,True,0.93,orientation,soda_pmuoneq_normuon,14947.545690986602,0.9,0.35,34000,1164,2.13.0.dev20260513+cu130,0.005
0.0008,0.7924,0.6127556518554688,0.0,0.008,41.79199343395885,0.6766320350243873,0.7924,0.6127556518554688,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.0343080951658812,0.95,orientation_aspect_mlr0p008_rg0p3_cg0_nb0p95,True,0.95,orientation,soda_pmuoneq_normuon,14923.591575820712,0.9,0.3,34000,1164,2.13.0.dev20260513+cu130,0.005
0.0008,0.7889,0.6127198684692383,0.05,0.008,41.933704672032036,0.6633894035906317,0.7889,0.6127198684692383,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.034398371735195665,0.95,orientation_aspect_mlr0p008_rg0p4_cg0p05_nb0p93,True,0.93,orientation,soda_pmuoneq_normuon,14884.425458898473,0.9,0.4,34000,1164,2.13.0.dev20260513+cu130,0.005
0.0008,0.7783,0.6336892852783204,0.05,0.008,42.05425321299117,0.6872719702442077,0.7783,0.6336892852783204,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.03452911262826104,0.95,orientation_noaspect_mlr0p008_rg0p35_cg0p05_nb0p93,False,0.93,orientation,soda_pmuoneq_normuon,14828.067130255278,0.9,0.35,34000,1164,2.13.0.dev20260513+cu130,0.005
0.0008,0.7772,0.6433479598999023,0.0,0.008,42.40394040895626,0.6853821398466313,0.7772,0.6433479598999023,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.03480362577719495,0.95,orientation_noaspect_mlr0p008_rg0p3_cg0_nb0p95,False,0.95,orientation,soda_pmuoneq_normuon,14711.110942225092,0.9,0.3,34000,1164,2.13.0.dev20260513+cu130,0.005
0.0008,0.7734,0.654358903503418,0.05,0.008,40.19725643796846,0.6921392830786427,0.7734,0.654358903503418,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.032956702597087245,0.95,orientation_noaspect_mlr0p008_rg0p4_cg0p05_nb0p93,False,0.93,orientation,soda_pmuoneq_normuon,15535.534797260065,0.9,0.4,34000,1164,2.13.0.dev20260513+cu130,0.005
0.0008,0.777,0.6474578857421875,0.05,0.008,42.520013069035485,0.6728165620790724,0.777,0.6474578857421875,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.0348518232020263,0.95,row_aspect_mlr0p008_rg0p35_cg0p05_nb0p93,True,0.93,row,soda_pmuoneq_normuon,14690.766592957812,0.9,0.35,34000,1164,2.13.0.dev20260513+cu130,0.005
0.0008,0.7716,0.6528043640136719,0.0,0.008,42.18518050399143,0.6675294625390437,0.7716,0.6528043640136719,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.03462470757114522,0.95,row_aspect_mlr0p008_rg0p3_cg0_nb0p95,True,0.95,row,soda_pmuoneq_normuon,14787.12849626142,0.9,0.3,34000,1164,2.13.0.dev20260513+cu130,0.005
0.0008,0.7852,0.6143857467651367,0.05,0.008,42.32687215798069,0.6745488715335676,0.7852,0.6143857467651367,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.034679194846905806,0.95,row_aspect_mlr0p008_rg0p4_cg0p05_nb0p93,True,0.93,row,soda_pmuoneq_normuon,14763.89524786451,0.9,0.4,34000,1164,2.13.0.dev20260513+cu130,0.005
