bin_index,bins,elapsed_s,epoch,event,examples_per_s_interval,global_batch_size,mean_step_s_interval,optimizer,recipe,step,target_step,train_loss_interval,val_accuracy,val_loss,world_size,run_name,family,best_val_accuracy,best_val_loss,final_val_accuracy,final_val_loss,overall_examples_per_s,steps,total_s
1.0,8.0,11.190797921037301,7.0,bin,27771.388795768078,512.0,0.017134394855131095,adamw,adamw_lr0.0025_wd0.005,607.0,607.0,1.2327360031632262,0.652899980545044,0.9572693109512329,4.0,adamw_lr0.0025_wd0.005,adamw,,,,,,,
2.0,8.0,22.15670561802108,13.0,bin,28294.23779349718,512.0,0.016859814943822573,adamw,adamw_lr0.0025_wd0.005,1213.0,1213.0,0.8239956994851431,0.7461000084877014,0.7221361994743347,4.0,adamw_lr0.0025_wd0.005,adamw,,,,,,,
3.0,8.0,33.197977975942194,19.0,bin,28101.1091785457,512.0,0.017030108896031876,adamw,adamw_lr0.0025_wd0.005,1819.0,1819.0,0.6211168341609118,0.7853000164031982,0.6343982815742493,4.0,adamw_lr0.0025_wd0.005,adamw,,,,,,,
4.0,8.0,44.03576542902738,25.0,bin,28628.721622666177,512.0,0.016631353039274502,adamw,adamw_lr0.0025_wd0.005,2425.0,2425.0,0.48247987533559894,0.7993999719619751,0.586404025554657,4.0,adamw_lr0.0025_wd0.005,adamw,,,,,,,
5.0,8.0,55.21014912403189,32.0,bin,27812.182620768206,512.0,0.01727377014891344,adamw,adamw_lr0.0025_wd0.005,3032.0,3032.0,0.370018496225654,0.8076000213623047,0.5855300426483154,4.0,adamw_lr0.0025_wd0.005,adamw,,,,,,,
6.0,8.0,66.91176390298642,38.0,bin,26515.314839967825,512.0,0.018102635809861232,adamw,adamw_lr0.0025_wd0.005,3638.0,3638.0,0.28131261281054404,0.8145999908447266,0.6152871251106262,4.0,adamw_lr0.0025_wd0.005,adamw,,,,,,,
7.0,8.0,78.4944993800018,44.0,bin,26787.454536598852,512.0,0.01795046870203277,adamw,adamw_lr0.0025_wd0.005,4244.0,4244.0,0.21664010192399766,0.8155999779701233,0.6668990254402161,4.0,adamw_lr0.0025_wd0.005,adamw,,,,,,,
8.0,8.0,89.93674252100755,50.0,bin,27116.36137918389,512.0,0.017672395932821636,adamw,adamw_lr0.0025_wd0.005,4850.0,4850.0,0.16780440776114022,0.8154000043869019,0.7083413600921631,4.0,adamw_lr0.0025_wd0.005,adamw,,,,,,,
,,,,summary,,,,,adamw_lr0.0025_wd0.005,,,,,,,adamw_lr0.0025_wd0.005,adamw,0.8155999779701233,0.5855300426483154,0.8154000043869019,0.7083413600921631,27610.422688993436,4850.0,89.93705123499967
1.0,8.0,15.98034834000282,7.0,bin,19447.886453265208,512.0,0.024594368183904033,soda_pmuoneq_normuon,standalone_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.93,607.0,607.0,1.182644099929973,0.7301999926567078,0.7740893363952637,4.0,standalone_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.93,standalone,,,,,,,
2.0,8.0,31.232373053091578,13.0,bin,20343.00401662314,512.0,0.02361453799073655,soda_pmuoneq_normuon,standalone_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.93,1213.0,1213.0,0.6439145806894051,0.8001999855041504,0.5868788957595825,4.0,standalone_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.93,standalone,,,,,,,
3.0,8.0,46.455008766031824,19.0,bin,20382.2784602438,512.0,0.023634812307640873,soda_pmuoneq_normuon,standalone_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.93,1819.0,1819.0,0.4492777564836414,0.8317999839782715,0.49980711936950684,4.0,standalone_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.93,standalone,,,,,,,
4.0,8.0,61.4270843800623,25.0,bin,20723.379175913404,512.0,0.02323325303930285,soda_pmuoneq_normuon,standalone_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.93,2425.0,2425.0,0.3357793573941728,0.8418999910354614,0.46768417954444885,4.0,standalone_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.93,standalone,,,,,,,
5.0,8.0,76.32896673807409,32.0,bin,20855.35186317662,512.0,0.02307304797028199,soda_pmuoneq_normuon,standalone_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.93,3032.0,3032.0,0.2584769654362363,0.847000002861023,0.47804564237594604,4.0,standalone_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.93,standalone,,,,,,,
6.0,8.0,91.63904345303308,38.0,bin,20265.868406579764,512.0,0.02376447567407337,soda_pmuoneq_normuon,standalone_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.93,3638.0,3638.0,0.20706032713254294,0.857699990272522,0.4597523510456085,4.0,standalone_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.93,standalone,,,,,,,
7.0,8.0,106.98290547309443,44.0,bin,20221.245446181314,512.0,0.023881939310686533,soda_pmuoneq_normuon,standalone_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.93,4244.0,4244.0,0.16895142394323948,0.8574000000953674,0.4829098582267761,4.0,standalone_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.93,standalone,,,,,,,
8.0,8.0,122.56718287500553,50.0,bin,19909.296529972667,512.0,0.02423770844409236,soda_pmuoneq_normuon,standalone_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.93,4850.0,4850.0,0.1434889487159921,0.8569999933242798,0.4949674904346466,4.0,standalone_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.93,standalone,,,,,,,
,,,,summary,,,,,standalone_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.93,,,,,,,standalone_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.93,standalone,0.857699990272522,0.4597523510456085,0.8569999933242798,0.4949674904346466,20259.85552693259,4850.0,122.56750778399874
