best_val_acc,best_val_loss,beta1,family,final_val_acc,final_val_loss,lr,mimuon_tau,normuon_aspect_scale,normuon_beta2,normuon_mode,optimizer,param_count,pmuon_beta,pmuon_col_gamma,pmuon_gamma,pmuon_row_gamma,rho,run_name,seed,soda_replaces_weight_decay,soda_warmup_steps,status,steps,steps_per_sec,test_acc,test_loss,use_amuse,use_gram,use_mimuon,use_normuon,use_pmuoneq,use_soda,wall_sec,warmup_steps,weight_decay
0.8252,0.5814949462890625,0.6,adamw,0.8188,0.6814598388671875,0.003,0.005,False,0.95,row,adamw,2691274,0.95,0.2,0.2,0.2,0.8,final10k_adamw_rank1,0,True,250,ok,10000,58.63736151268466,0.8212,0.6767170806884766,True,True,False,False,True,True,170.53973340592347,250,0.02
0.8112,0.62208212890625,0.6,adamw,0.8084,0.7410989990234375,0.003,0.005,False,0.95,row,adamw,2691274,0.95,0.2,0.2,0.2,0.8,final10k_adamw_rank1,1,True,250,ok,10000,58.06842772194922,0.8032,0.7402880676269531,True,True,False,False,True,True,172.21062102599535,250,0.02
0.8078,0.6055408203125,0.6,adamw,0.806,0.7439272338867188,0.003,0.005,False,0.95,row,adamw,2691274,0.95,0.2,0.2,0.2,0.8,final10k_adamw_rank1,2,True,250,ok,10000,58.51623433194982,0.8137,0.7394169799804687,True,True,False,False,True,True,170.89274650299922,250,0.02
0.8724,0.41291723022460936,0.6,soda_pmuoneq,0.8712,0.465801953125,0.014,0.005,False,0.95,row,sodamuseeq,2691274,0.95,0.05,0.05,0.05,0.8,final10k_soda_pmuoneq_rank1,0,True,500,ok,10000,42.770571675379145,0.8677,0.48851527099609376,False,True,False,False,True,True,233.80561933794525,500,0.0
0.8746,0.43460236206054687,0.6,soda_pmuoneq,0.8746,0.4567996337890625,0.014,0.005,False,0.95,row,sodamuseeq,2691274,0.95,0.05,0.05,0.05,0.8,final10k_soda_pmuoneq_rank1,1,True,500,ok,10000,43.42505093969167,0.8738,0.44778513488769534,False,True,False,False,True,True,230.2818254349986,500,0.0
0.8688,0.41546879272460935,0.6,soda_pmuoneq,0.8596,0.5034880432128906,0.014,0.005,False,0.95,row,sodamuseeq,2691274,0.95,0.05,0.05,0.05,0.8,final10k_soda_pmuoneq_rank1,2,True,500,ok,10000,42.96037067103772,0.8655,0.48946087951660155,False,True,False,False,True,True,232.7726656870218,500,0.0
0.858,0.5123142028808594,0.6,normuon_base,0.8548,0.6732104736328125,0.006,0.005,False,0.98,row,sodamuseeq,2691274,0.95,0.0,0.0,0.0,0.8,final10k_normuon_base_rank1,0,False,500,ok,10000,47.54748357321313,0.8582,0.6657048828125,False,True,False,True,False,False,210.31607245001942,500,0.0
0.8594,0.5154935729980469,0.6,normuon_base,0.8546,0.63913876953125,0.006,0.005,False,0.98,row,sodamuseeq,2691274,0.95,0.0,0.0,0.0,0.8,final10k_normuon_base_rank1,1,False,500,ok,10000,46.979147961828374,0.8577,0.6474883880615234,False,True,False,True,False,False,212.8603951720288,500,0.0
0.869,0.4927993896484375,0.6,normuon_base,0.861,0.614706689453125,0.006,0.005,False,0.98,row,sodamuseeq,2691274,0.95,0.0,0.0,0.0,0.8,final10k_normuon_base_rank1,2,False,500,ok,10000,47.802476708558615,0.8656,0.5916328491210937,False,True,False,True,False,False,209.1941817359766,500,0.0
0.8724,0.42033118286132815,0.6,soda_pmuoneq_normuon_aspect,0.8672,0.478544580078125,0.012,0.005,True,0.9,row,sodamuseeq,2691274,0.9,0.0,0.0,0.15,0.8,final10k_soda_pmuoneq_normuon_aspect_rank1,0,True,500,ok,10000,42.78528939237198,0.8725,0.5007445495605469,False,True,False,True,True,True,233.72519251401536,500,0.0
0.8704,0.39946898193359376,0.6,soda_pmuoneq_normuon_aspect,0.8704,0.45223224487304686,0.012,0.005,True,0.9,row,sodamuseeq,2691274,0.9,0.0,0.0,0.15,0.8,final10k_soda_pmuoneq_normuon_aspect_rank1,1,True,500,ok,10000,42.81184668284486,0.8713,0.4671470062255859,False,True,False,True,True,True,233.58020676102024,500,0.0
0.8718,0.40403417358398436,0.6,soda_pmuoneq_normuon_aspect,0.8642,0.5289985229492188,0.012,0.005,True,0.9,row,sodamuseeq,2691274,0.9,0.0,0.0,0.15,0.8,final10k_soda_pmuoneq_normuon_aspect_rank1,2,True,500,ok,10000,42.92240571206353,0.8689,0.5142413940429688,False,True,False,True,True,True,232.97855360398535,500,0.0
