best_val_acc,best_val_loss,beta1,family,final_val_acc,final_val_loss,lr,mimuon_tau,normuon_aspect_scale,normuon_beta2,normuon_mode,optimizer,param_count,pmuon_beta,pmuon_col_gamma,pmuon_gamma,pmuon_row_gamma,rho,run_name,seed,soda_replaces_weight_decay,soda_warmup_steps,status,steps,steps_per_sec,test_acc,test_loss,use_amuse,use_gram,use_mimuon,use_normuon,use_pmuoneq,use_soda,wall_sec,warmup_steps,weight_decay
0.6318,1.01743076171875,0.6,adamw,0.6318,1.01743076171875,0.002,0.005,False,0.95,row,adamw,2691274,0.95,0.2,0.2,0.2,0.8,hpo_adamw_lr0.002_wd0.01,0,True,250,ok,1000,54.91766106516325,nan,nan,True,True,False,False,True,True,18.209078475018032,250,0.01
0.631,1.015630126953125,0.6,adamw,0.631,1.015630126953125,0.002,0.005,False,0.95,row,adamw,2691274,0.95,0.2,0.2,0.2,0.8,hpo_adamw_lr0.002_wd0.02,0,True,250,ok,1000,53.95567472690381,nan,nan,True,True,False,False,True,True,18.533731717034243,250,0.02
0.6354,1.0161708740234374,0.6,adamw,0.6354,1.0161708740234374,0.002,0.005,False,0.95,row,adamw,2691274,0.95,0.2,0.2,0.2,0.8,hpo_adamw_lr0.002_wd0.05,0,True,250,ok,1000,54.76457286706715,nan,nan,True,True,False,False,True,True,18.259979903930798,250,0.05
0.647,0.96252333984375,0.6,adamw,0.647,0.96252333984375,0.003,0.005,False,0.95,row,adamw,2691274,0.95,0.2,0.2,0.2,0.8,hpo_adamw_lr0.003_wd0.01,0,True,250,ok,1000,53.75148561952606,nan,nan,True,True,False,False,True,True,18.60413695499301,250,0.01
0.6524,0.9625407348632813,0.6,adamw,0.6524,0.9625407348632813,0.003,0.005,False,0.95,row,adamw,2691274,0.95,0.2,0.2,0.2,0.8,hpo_adamw_lr0.003_wd0.02,0,True,250,ok,1000,54.32310812800283,nan,nan,True,True,False,False,True,True,18.408372320001945,250,0.02
0.6508,0.9664703125,0.6,adamw,0.6508,0.9664703125,0.003,0.005,False,0.95,row,adamw,2691274,0.95,0.2,0.2,0.2,0.8,hpo_adamw_lr0.003_wd0.05,0,True,250,ok,1000,53.53752780000085,nan,nan,True,True,False,False,True,True,18.678486682008952,250,0.05
0.643,0.9931336059570313,0.6,adamw,0.643,0.9931336059570313,0.004,0.005,False,0.95,row,adamw,2691274,0.95,0.2,0.2,0.2,0.8,hpo_adamw_lr0.004_wd0.01,0,True,250,ok,1000,54.94567488908361,nan,nan,True,True,False,False,True,True,18.19979465205688,250,0.01
0.6466,0.9942555908203125,0.6,adamw,0.6466,0.9942555908203125,0.004,0.005,False,0.95,row,adamw,2691274,0.95,0.2,0.2,0.2,0.8,hpo_adamw_lr0.004_wd0.02,0,True,250,ok,1000,54.16225780823334,nan,nan,True,True,False,False,True,True,18.463041248032823,250,0.02
0.6458,0.99440126953125,0.6,adamw,0.6458,0.99440126953125,0.004,0.005,False,0.95,row,adamw,2691274,0.95,0.2,0.2,0.2,0.8,hpo_adamw_lr0.004_wd0.05,0,True,250,ok,1000,55.48756602129035,nan,nan,True,True,False,False,True,True,18.02205560100265,250,0.05
0.643,0.9804554565429687,0.6,adamw,0.643,0.9804554565429687,0.005,0.005,False,0.95,row,adamw,2691274,0.95,0.2,0.2,0.2,0.8,hpo_adamw_lr0.005_wd0.01,0,True,250,ok,1000,54.30201500962942,nan,nan,True,True,False,False,True,True,18.4155228829477,250,0.01
0.6302,1.0131830810546876,0.6,adamw,0.6302,1.0131830810546876,0.005,0.005,False,0.95,row,adamw,2691274,0.95,0.2,0.2,0.2,0.8,hpo_adamw_lr0.005_wd0.02,0,True,250,ok,1000,54.5760201523849,nan,nan,True,True,False,False,True,True,18.32306564692408,250,0.02
0.6418,1.0037108032226563,0.6,adamw,0.6418,1.0037108032226563,0.005,0.005,False,0.95,row,adamw,2691274,0.95,0.2,0.2,0.2,0.8,hpo_adamw_lr0.005_wd0.05,0,True,250,ok,1000,53.676341380738656,nan,nan,True,True,False,False,True,True,18.6301818320062,250,0.05
0.7128,0.8277967529296875,0.6,soda_pmuoneq,0.7128,0.8277967529296875,0.01,0.005,False,0.95,row,sodamuseeq,2691274,0.95,0.0,0.0,0.0,0.8,hpo_soda_pmuoneq_lr0.01_g0,0,True,500,ok,1000,45.7737832185044,nan,nan,False,True,False,False,True,True,21.84656652098056,500,0.0
0.7058,0.8382234619140625,0.6,soda_pmuoneq,0.7058,0.8382234619140625,0.01,0.005,False,0.95,row,sodamuseeq,2691274,0.95,0.025,0.025,0.025,0.8,hpo_soda_pmuoneq_lr0.01_g0.025,0,True,500,ok,1000,41.74017217086567,nan,nan,False,True,False,False,True,True,23.957735389936715,500,0.0
0.7106,0.8084955200195313,0.6,soda_pmuoneq,0.7106,0.8084955200195313,0.01,0.005,False,0.95,row,sodamuseeq,2691274,0.95,0.05,0.05,0.05,0.8,hpo_soda_pmuoneq_lr0.01_g0.05,0,True,500,ok,1000,42.206659747724075,nan,nan,False,True,False,False,True,True,23.6929433880141,500,0.0
0.7138,0.8122838623046875,0.6,soda_pmuoneq,0.7138,0.8122838623046875,0.01,0.005,False,0.95,row,sodamuseeq,2691274,0.95,0.075,0.075,0.075,0.8,hpo_soda_pmuoneq_lr0.01_g0.075,0,True,500,ok,1000,41.5220241368048,nan,nan,False,True,False,False,True,True,24.083604322979227,500,0.0
0.7248,0.7864370971679687,0.6,soda_pmuoneq,0.7248,0.7864370971679687,0.01,0.005,False,0.95,row,sodamuseeq,2691274,0.95,0.1,0.1,0.1,0.8,hpo_soda_pmuoneq_lr0.01_g0.1,0,True,500,ok,1000,41.86680734044313,nan,nan,False,True,False,False,True,True,23.88527006295044,500,0.0
0.715,0.8132900390625,0.6,soda_pmuoneq,0.715,0.8132900390625,0.012,0.005,False,0.95,row,sodamuseeq,2691274,0.95,0.0,0.0,0.0,0.8,hpo_soda_pmuoneq_lr0.012_g0,0,True,500,ok,1000,45.41658816112365,nan,nan,False,True,False,False,True,True,22.018386684008874,500,0.0
